Sr_No,City,Make,Model,Variant,CC,CC_Range,Fuel,Discount,Year,Registration
18,Mumbai,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,>1500,Diesel,35%,2018 (9 Years),MH01CT9835
19,Pune,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,0%,2024 (SAOD),MH12WU8108
20,Pune,Hyundai,VENUE,1.2 KAPPA DUAL VTVT 5-SPEED S (1197 CC) - PETROL,1197,1001-1500,Petrol,0%,2024 (SAOD),MH12WU8064

