Sr_No,City,Make,Model,Variant,CC,CC_Range,Fuel,Discount,Year,Registration
4,Mumbai,KIA,SELTOS,1.5 HTX IVT PETROL (1497 CC) - PETROL,1353,1001-1500,Petrol,0%,2020 (7 Years),MH03DK2707
5,Mumbai,Maruti,ERTIGA,ZXI PLUS (1462 CC) - PETROL,1373,1001-1500,Petrol,0%,2020 (7 Years),MH03CV8514
6,Mumbai,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,>1500,Diesel,0%,2020 (7 Years),MH02FJ2648
7,Mumbai,KIA,SELTOS,1.5 HTX IVT PETROL (1497 CC) - PETROL,1353,1001-1500,Petrol,20%,2020 (7 Years),MH01DP0517
8,Mumbai,Maruti,Brezza,VXI 5MT BSVI (1462 CC) - PETROL,1197,1001-1500,Petrol,20%,2020 (7 Years),MH02FJ3546

