Sr_No,City,Make,Model,Variant,CC,CC_Range,Fuel,Discount,Year,Registration
1,Mumbai,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,35%,2022 (3-5 Years),MH02FU8512
2,Mumbai,Mahindra,SCORPIO,S11 2WD BSVI (2179 CC) - DIESEL,2179,>1500,Diesel,35%,2022 (3-5 Years),MH02FY3017
3,Mumbai,Hyundai,i10,ERA 1.2 KAPPA VTVT (1197 CC) - PETROL,1197,1001-1500,Petrol,0%,2020 (7 Years),MH03DG7814

