RegNo,Place,State,StateCode
RJ52,Sahapura  Dto,Rajasthan,8
RJ58,Salumbar Dto,Rajasthan,8
RJ25,Sawai Madhopur Dto,Rajasthan,8
RJ23,Sikar Rto,Rajasthan,8
RJ24,Sirohi Dto,Rajasthan,8
RJ13,Sri Ganganagar Dto,Rajasthan,8
RJ44,Sujangarh Dto,Rajasthan,8
RJ57,Sumerpur Dto,Rajasthan,8
RJ26,Tonk Dto,Rajasthan,8
RJ27,Udaipur Rto,Rajasthan,8
SK02,Gyalsing,Sikkim,11
SK04,Jorethang,Sikkim,11
SK03,Mangan,Sikkim,11
SK05,Namchi,Sikkim,11
SK07,Pakyong,Sikkim,11
SK01,Rto Gangtok,Sikkim,11
SK08,"Singtam, East Sikkim",Sikkim,11
SK06,Soreng,Sikkim,11
TN64,Alangudi Uo,Tamil Nadu,33
TN61,Ambasamuthiram Uo,Tamil Nadu,33
TN62,Ambur Uo,Tamil Nadu,33
TN60,Arakkonam Uo,Tamil Nadu,33
TN51,Arani Rto,Tamil Nadu,33
TN59,Aranthangi Uo,Tamil Nadu,33
TN63,Aravakurichi Uo,Tamil Nadu,33
TN58,Avinashi Uo,Tamil Nadu,33
TN57,Bhavani Uo,Tamil Nadu,33
TN19,Chengalpattu Rto,Tamil Nadu,33
TN01,Chennai  Rto,Tamil Nadu,33
TN04,Chennai  Rto,Tamil Nadu,33
TN05,Chennai  Rto,Tamil Nadu,33
TN03,Chennai  Rto,Tamil Nadu,33
TN07,Chennai  Rto,Tamil Nadu,33
TN06,Chennai  Rto,Tamil Nadu,33
TN10,Chennai  Rto,Tamil Nadu,33
TN09,Chennai  Rto,Tamil Nadu,33
TN54,Chidambaram Rto,Tamil Nadu,33
TN66,Coimbatore  Rto,Tamil Nadu,33
TN38,Coimbatore  Rto,Tamil Nadu,33
TN37,Coimbatore  Rto,Tamil Nadu,33
TN99,Coimbatore  Rto,Tamil Nadu,33
TN31,Cuddalore Rto,Tamil Nadu,33
TN29,Dharmapuri Rto,Tamil Nadu,33
TN86,Erode  Rto,Tamil Nadu,33
TN33,Erode Rto,Tamil Nadu,33
TN36,Gopichettipalayam Rto,Tamil Nadu,33
TN52,Harur Uo,Tamil Nadu,33
TN70,Hosur Rto,Tamil Nadu,33
TN21,Kancheepuram Rto,Tamil Nadu,33
TN47,Karur Rto,Tamil Nadu,33
TN24,Krishnagiri Rto,Tamil Nadu,33
TN68,Kumbakonam Rto,Tamil Nadu,33
TN85,Kundrathur Rto,Tamil Nadu,33
TN50,Madurantagam Uo,Tamil Nadu,33
TN75,Marthandam Rto,Tamil Nadu,33
TN22,Meenambakkam Rto,Tamil Nadu,33
TN40,Mettupalayam Rto,Tamil Nadu,33
TN74,Nagercoil Rto,Tamil Nadu,33
TN28,Namakkal  Rto,Tamil Nadu,33
TN88,Namakkal  Rto,Tamil Nadu,33
TN56,Neyveli Uo,Tamil Nadu,33
TN53,Omalure Uo,Tamil Nadu,33
TN43,Ooty Rto,Tamil Nadu,33
TN46,Perambalur Rto,Tamil Nadu,33
TN41,Pollachi Rto,Tamil Nadu,33
TN55,Pudukottai Rto,Tamil Nadu,33
TN65,Ramanathapuram Rto,Tamil Nadu,33
TN73,Ranipet Rto,Tamil Nadu,33
TN18,Redhills Rto,Tamil Nadu,33
TN02,Rto Chennai,Tamil Nadu,33
TN90,Salem  Rto,Tamil Nadu,33
TN30,Salem  Rto,Tamil Nadu,33
TN48,Srirangam Rto,Tamil Nadu,33
TN76,Tenkasi Rto,Tamil Nadu,33
TN49,Thanjavur Rto,Tamil Nadu,33
TN69,Thoothukudi Rto,Tamil Nadu,33
TN34,Tiruchengode Rto,Tamil Nadu,33
TN45,Tiruchi Rto,Tamil Nadu,33
TN81,Tiruchi Rto,Tamil Nadu,33
TN72,Tirunelveli Rto,Tamil Nadu,33
TN39,Tiruppur  Rto,Tamil Nadu,33
TN42,Tiruppur  Rto,Tamil Nadu,33
TN20,Tiruvallur Rto,Tamil Nadu,33
TN25,Tiruvannamalai Rto,Tamil Nadu,33
TN23,Vellore Rto,Tamil Nadu,33
TN32,Viluppuram Rto,Tamil Nadu,33
TN67,Virudhunagar Rto,Tamil Nadu,33
TR04,Dhalai Dto,Tripura,16
TR03,Gomati Dto,Tripura,16
TR06,Khowai Dto,Tripura,16
TR05,North Tripura Dto,Tripura,16
TR07,Sepahijala Dto,Tripura,16
TR08,South Tripura Dto,Tripura,16
TR02,Unakoti Dto,Tripura,16
TR01,West Tripura Jtc,Tripura,16
DD03,Daman,The Dadra And Nagar Haveli And Daman And Diu,38
DD02,Diu,The Dadra And Nagar Haveli And Daman And Diu,38
DD01,Silvassa,The Dadra And Nagar Haveli And Daman And Diu,38
UP80,Agra Rto,Uttar Pradesh,9
UP45,Akbarpur,Uttar Pradesh,9
UP81,Aligarh Rto,Uttar Pradesh,9
UP36,Amethi Arto,Uttar Pradesh,9
UP22,Arto Office Rampur,Uttar Pradesh,9
UP79,Auraiya,Uttar Pradesh,9
UP42,Ayodhya Rto,Uttar Pradesh,9
UP50,Azamgarh Rto,Uttar Pradesh,9
UP24,Badaun,Uttar Pradesh,9
UP17,Baghpat,Uttar Pradesh,9
UP40,Bahraich,Uttar Pradesh,9
UP60,Ballia,Uttar Pradesh,9
UP47,Balrampur,Uttar Pradesh,9
UP90,Bandarto,Uttar Pradesh,9
UP41,Barabanki Arto,Uttar Pradesh,9
UP25,Bareilly,Uttar Pradesh,9
UP51,Basti Rto,Uttar Pradesh,9
UP66,Bhadohi,Uttar Pradesh,9
UP20,Bijnor,Uttar Pradesh,9
UP13,Bulandshahar,Uttar Pradesh,9
UP67,Chandauli,Uttar Pradesh,9
UP96,Chitrakoot,Uttar Pradesh,9
UP52,Deoria,Uttar Pradesh,9
UP82,Etah,Uttar Pradesh,9
UP75,Etawah,Uttar Pradesh,9
UP76,Farrukhabad,Uttar Pradesh,9
UP71,Fathehpur,Uttar Pradesh,9
UP83,Ferozabad,Uttar Pradesh,9
UP14,Ghaziabad,Uttar Pradesh,9
UP61,Ghazipur,Uttar Pradesh,9
UP43,Gonda,Uttar Pradesh,9
UP53,Gorakhpur Rto,Uttar Pradesh,9
UP91,Hamirpur,Uttar Pradesh,9
UP37,Hapur,Uttar Pradesh,9
UP30,Hardoi,Uttar Pradesh,9
UP86,Hathras,Uttar Pradesh,9
UP62,Jaunpur,Uttar Pradesh,9
UP93,Jhansirto,Uttar Pradesh,9
UP23,Jpnagar,Uttar Pradesh,9
UP74,Kannauj,Uttar Pradesh,9
UP77,Kanpur Dehat,Uttar Pradesh,9
UP78,Kanpur Nagar,Uttar Pradesh,9
UP87,Kasganj,Uttar Pradesh,9
UP73,Kaushambi,Uttar Pradesh,9
UP31,Lakhimpur Kheri,Uttar Pradesh,9
UP94,Lalitpur,Uttar Pradesh,9
UP32,Mahanagar Arto Lucknow,Uttar Pradesh,9
UP56,Maharajganj,Uttar Pradesh,9
UP95,Mahoba,Uttar Pradesh,9
UP84,Mainpuri,Uttar Pradesh,9
UP85,Mathura,Uttar Pradesh,9
UP54,Mau,Uttar Pradesh,9
UP15,Meerut Rto,Uttar Pradesh,9
UP63,Mirzapur Rto,Uttar Pradesh,9
UP21,Moradabad,Uttar Pradesh,9
UP12,Muzaffarnagar,Uttar Pradesh,9
UP16,Noida,Uttar Pradesh,9
UP92,Orai,Uttar Pradesh,9
UP57,Padrauna,Uttar Pradesh,9
UP26,Pilibhit,Uttar Pradesh,9
UP72,Pratapgarh,Uttar Pradesh,9
UP70,Prayagraj Rto,Uttar Pradesh,9
UP33,Raibareilly,Uttar Pradesh,9
UP11,Saharanpur Rto,Uttar Pradesh,9
UP27,Sahjahanpur,Uttar Pradesh,9
UP38,Sambhal Arto,Uttar Pradesh,9
UP58,Sant Kabir Nagar,Uttar Pradesh,9
UP19,Shamli Arto,Uttar Pradesh,9
UP46,Shravasti,Uttar Pradesh,9
UP55,Siddharth Nagar,Uttar Pradesh,9
UP34,Sitapur,Uttar Pradesh,9
UP64,Sonbhadra,Uttar Pradesh,9
UP44,Sultanpur,Uttar Pradesh,9
UP35,Unnao,Uttar Pradesh,9
UP65,Varanasi Rto,Uttar Pradesh,9
UK01,Almora Rto,Uttarakhand,5
UK02,Bageshwar Arto,Uttarakhand,5
UK07,Dehradun Rto,Uttarakhand,5
UK04,Haldwani Rto,Uttarakhand,5
UK08,Haridwar Arto,Uttarakhand,5
UK11,Karanprayag Arto,Uttarakhand,5
UK18,Kashipur Arto,Uttarakhand,5
UK15,Kotdwar Arto,Uttarakhand,5
UK12,Pauri Rto,Uttarakhand,5
UK05,Pithoragarh Arto,Uttarakhand,5
UK19,Ramnagar Arto,Uttarakhand,5
UK20,Ranikhet Arto,Uttarakhand,5
UK14,Rishikesh Arto,Uttarakhand,5
UK17,Roorkee Arto,Uttarakhand,5
UK13,Rudraprayag Arto,Uttarakhand,5
UK03,Tanakpur Arto,Uttarakhand,5
UK09,Tehri Arto,Uttarakhand,5
UK06,Udham Singh Nagar Arto,Uttarakhand,5
UK10,Uttarkashi Arto,Uttarakhand,5
UK16,Vikas Nagar Arto,Uttarakhand,5
WB19,Alipore Rto,West Bengal,19
WB69,Alipurduar Rto,West Bengal,19
WB18,Arambag Arto,West Bengal,19
WB27,Bangaon Arto,West Bengal,19
WB67,Bankura Rto,West Bengal,19
WB25,Barasat Rto,West Bengal,19
WB23,Barrackpore Arto,West Bengal,19
WB95,Baruipur Arto,West Bengal,19
WB21,Basirhat Arto,West Bengal,19
WB09,Behala Arto,West Bengal,19
WB53,Birbhum Rto,West Bengal,19
WB87,Bishnupur Arto,West Bengal,19
WB47,Bolpur Arto,West Bengal,19
WB83,Chanchol Arto,West Bengal,19
WB31,Contai Arto,West Bengal,19
WB63,Coochbehar Rto,West Bengal,19
WB61,Dakshin Dinajpur Rto,West Bengal,19
WB76,Darjeeling Rto,West Bengal,19
WB97,Diamond Harbour Arto,West Bengal,19
WB39,Durgapore Arto,West Bengal,19
WB50,Ghatal Arto,West Bengal,19
WB32,Haldia Arto,West Bengal,19
WB15,Hooghly Rto,West Bengal,19
WB11,Howrah Rto,West Bengal,19
WB91,Islampur Arto,West Bengal,19
WB71,Jalpaiguri Rto,West Bengal,19
WB93,Jangipur Arto,West Bengal,19
WB49,Jhargram Rto,West Bengal,19
WB78,Kalimpong Rto,West Bengal,19
WB43,Kalna Arto,West Bengal,19
WB89,Kalyani Arto,West Bengal,19
WB05,Kasba Arto,West Bengal,19
WB75,Katwa Arto,West Bengal,19
WB35,Kharagpur Arto,West Bengal,19
WB65,Malda Rto,West Bengal,19
WB85,Mathabhanga Arto,West Bengal,19
WB57,Murshidabad Rto,West Bengal,19
WB51,Nadia Rto,West Bengal,19
WB37,Paschim Burdwan Rto,West Bengal,19
WB33,Paschim Midnapore Rto,West Bengal,19
WB41,Purba Burdwan Rto,West Bengal,19
WB55,Purulia Rto,West Bengal,19
WB01,Pvd Kolkata,West Bengal,19
WB81,Raghunathpur Arto,West Bengal,19
WB45,Rampurhat Arto,West Bengal,19
WB07,Saltlake Arto,West Bengal,19
WB73,Siliguri Arto,West Bengal,19
WB17,Srirampur Arto,West Bengal,19
WB99,Sta-Durgapur,West Bengal,19
WB29,Tamluk Rto,West Bengal,19
WB52,Tehatta Arto,West Bengal,19
WB13,Uluberia Arto,West Bengal,19
WB59,Uttar Dinajpur Rto,West Bengal,19
